2024-03-17 18:19:07, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:12, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:17, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:22, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:27, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:32, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:37, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:42, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:47, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:52, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:19:57, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:02, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:07, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:13, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:18, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:23, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:28, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:33, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:38, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:43, GPU Temperature: 50°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:48, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:53, GPU Temperature: 53°C, nvlddmkm.sys: Not Present
2024-03-17 18:20:58, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:03, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:08, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:13, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:18, GPU Temperature: 54°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:23, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:28, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:34, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:39, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:44, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:49, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:54, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:21:59, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:04, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:09, GPU Temperature: 55°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:14, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:19, GPU Temperature: 52°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:24, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:29, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:34, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:39, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
2024-03-17 18:22:44, GPU Temperature: 51°C, nvlddmkm.sys: Not Present
